,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11598,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19720343.0,19720343.0,False,,1,,,,2024-07-15T08:00:00.000Z,62886.80982976656,26366711504.919716,23.8311,-0.03789227,4.62338447,12.58045574,-4.76693549,-4.95293748,-1.03034587,1240149460018.768,53.8249,1320623006425.1,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:50.534042
1,1027,Ethereum,ETH,ethereum,9133,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120217949.15020639,120217949.15020639,True,,2,,,,2024-07-15T08:00:00.000Z,3357.3890874652284,12682609587.784685,28.6703,0.17613093,4.97625917,14.69738719,-4.83308086,11.29487523,7.98412286,403618430594.35266,17.5178,403618430594.35,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:50.534042
2,825,Tether USDt,USDT,tether,91556,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112536925458.19319,116072162581.85667,True,,3,,,,2024-07-15T08:00:00.000Z,1.0005303225126712,46793035889.01515,17.3414,-0.0086151,-0.01177834,0.04543065,0.111182,0.040014,0.00452468,112596606323.27046,4.8855,116133718262.77,,2024-07-15T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-15 13:32:50.534042
3,1839,BNB,BNB,bnb,2192,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147582234.77887374,147582234.77887374,False,,4,,,,2024-07-15T08:00:00.000Z,559.3961459081801,1622707878.8796403,6.5564,0.3448205,3.91563588,11.50841036,-7.69517094,-4.34504989,1.5994468,82556933339.81815,3.5821,82556933339.82,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:50.534042
4,5426,Solana,SOL,solana,701,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464073336.71653,580137529.082648,True,,5,,,,2024-07-15T08:00:00.000Z,153.45013835375883,2085718045.9768991,29.4572,0.13717835,5.82373362,15.72337042,6.74317935,-5.7557618,11.15183074,71212117725.44205,3.0898,89022184101.94,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:50.534042
5,3408,USDC,USDC,usd-coin,20956,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,34052727956.701244,34052727956.701244,False,,6,,,,2024-07-15T08:00:00.000Z,0.99999834656014,5157661229.140739,32.1748,-0.00718035,-0.03391255,-0.01212589,-0.00031203,0.0018149,-0.00076125,34052671652.5635,1.4775,34052671652.56,,2024-07-15T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-15 13:32:50.534042
6,52,XRP,XRP,xrp,1352,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55805339473.0,99987452475.0,False,,7,,,,2024-07-15T08:01:00.000Z,0.5307846094434273,1541772350.9469135,-41.7679,0.26919326,0.84327216,25.55274089,10.94649221,1.90919192,6.40044258,29620615317.034184,1.2852,53078460944.34,,2024-07-15T08:01:00.000Z,,,,,,2024-07-15 13:32:50.534042
7,11419,Toncoin,TON,toncoin,458,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2506950322.5056515,5109001280.195134,True,,8,3414166606.0,25724856356.426872,,2024-07-15T08:00:00.000Z,7.534739608552914,198472941.23183945,15.3092,0.29839935,2.57160903,5.63459911,-6.29012122,11.92673561,18.44434542,18889217891.657833,0.8196,38494994306.03,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:50.534042
8,74,Dogecoin,DOGE,dogecoin,1022,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145122826383.7052,145122826383.7052,True,,9,,,,2024-07-15T08:01:00.000Z,0.11880599933941027,582927966.8526295,-2.3724,0.02348934,4.46689762,14.01102928,-12.78009312,-23.89403208,-24.47974976,17241462415.47583,0.7481,17241462415.48,,2024-07-15T08:01:00.000Z,,,,,,2024-07-15 13:32:50.534042
9,2010,Cardano,ADA,cardano,1212,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35881010640.501,37048613783.371,False,,10,,,,2024-07-15T08:00:00.000Z,0.43845523551376936,375904446.6479187,-3.49,-0.54481939,1.77063315,24.96157134,6.5077918,-4.17011053,-7.21207803,15732216970.85293,0.6826,19730485598.12,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:50.534042
10,1958,TRON,TRX,tron,999,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87122817531.52446,87122888780.67778,True,,11,71659659264.0,9918926319.071978,,2024-07-15T08:00:00.000Z,0.13841715716969638,284650111.1849056,-16.8323,-0.23347479,0.2519746,11.04565454,19.60470786,10.87166449,24.05758428,12059292727.3278,0.5232,12059302589.43,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:50.534042
11,5805,Avalanche,AVAX,avalanche,751,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394492113.6224957,443838483.6224957,False,,12,,,,2024-07-15T08:00:00.000Z,27.164034339740827,263489880.46204886,-11.0454,0.4988104,4.18171393,5.8765068,-10.56156208,-21.86854475,-23.86629445,10715997321.198414,0.465,19442622781.54,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:50.534042
12,5994,Shiba Inu,SHIB,shiba-inu,844,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270744583290.5,589519213187356.2,False,,13,,,,2024-07-15T08:00:00.000Z,1.8141780349899466e-05,260132738.34677896,-1.7539,-0.0548633,3.679352,13.44398504,-12.16187699,-29.11919504,-16.92842932,10690420414.851767,0.464,10694928077.69,,2024-07-15T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-15 13:32:50.534042
13,6636,Polkadot,DOT,polkadot-new,792,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1468888773.7127333,9561601888.208971,,2024-07-15T08:00:00.000Z,6.509411780744475,176568510.76616713,42.6006,0.11575195,4.37073806,9.65385585,4.75090315,-6.42003754,-3.7563157,9360231006.309805,0.4061,9360231006.31,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:50.534042
14,1975,Chainlink,LINK,chainlink,1814,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-15T08:00:00.000Z,13.841902404429765,295970426.8141207,18.8353,0.42470131,5.64530346,9.83729136,-7.9019238,-0.75982103,1.11072604,8417260443.144097,0.3652,13841902404.43,,2024-07-15T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-15 13:32:50.534042
0,1,Bitcoin,BTC,bitcoin,11598,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19720343.0,19720343.0,False,,1,,,,2024-07-15T08:00:00.000Z,62886.80982976656,26366711504.919716,23.8311,-0.03789227,4.62338447,12.58045574,-4.76693549,-4.95293748,-1.03034587,1240149460018.768,53.8249,1320623006425.1,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:54.244526
1,1027,Ethereum,ETH,ethereum,9133,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120217949.15020639,120217949.15020639,True,,2,,,,2024-07-15T08:00:00.000Z,3357.3890874652284,12682609587.784685,28.6703,0.17613093,4.97625917,14.69738719,-4.83308086,11.29487523,7.98412286,403618430594.35266,17.5178,403618430594.35,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:54.244526
2,825,Tether USDt,USDT,tether,91556,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112536925458.19319,116072162581.85667,True,,3,,,,2024-07-15T08:00:00.000Z,1.0005303225126712,46793035889.01515,17.3414,-0.0086151,-0.01177834,0.04543065,0.111182,0.040014,0.00452468,112596606323.27046,4.8855,116133718262.77,,2024-07-15T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-15 13:32:54.244526
3,1839,BNB,BNB,bnb,2192,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147582234.77887374,147582234.77887374,False,,4,,,,2024-07-15T08:00:00.000Z,559.3961459081801,1622707878.8796403,6.5564,0.3448205,3.91563588,11.50841036,-7.69517094,-4.34504989,1.5994468,82556933339.81815,3.5821,82556933339.82,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:54.244526
4,5426,Solana,SOL,solana,701,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464073336.71653,580137529.082648,True,,5,,,,2024-07-15T08:00:00.000Z,153.45013835375883,2085718045.9768991,29.4572,0.13717835,5.82373362,15.72337042,6.74317935,-5.7557618,11.15183074,71212117725.44205,3.0898,89022184101.94,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:54.244526
5,3408,USDC,USDC,usd-coin,20956,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,34052727956.701244,34052727956.701244,False,,6,,,,2024-07-15T08:00:00.000Z,0.99999834656014,5157661229.140739,32.1748,-0.00718035,-0.03391255,-0.01212589,-0.00031203,0.0018149,-0.00076125,34052671652.5635,1.4775,34052671652.56,,2024-07-15T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-15 13:32:54.244526
6,52,XRP,XRP,xrp,1352,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55805339473.0,99987452475.0,False,,7,,,,2024-07-15T08:01:00.000Z,0.5307846094434273,1541772350.9469135,-41.7679,0.26919326,0.84327216,25.55274089,10.94649221,1.90919192,6.40044258,29620615317.034184,1.2852,53078460944.34,,2024-07-15T08:01:00.000Z,,,,,,2024-07-15 13:32:54.244526
7,11419,Toncoin,TON,toncoin,458,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2506950322.5056515,5109001280.195134,True,,8,3414166606.0,25724856356.426872,,2024-07-15T08:00:00.000Z,7.534739608552914,198472941.23183945,15.3092,0.29839935,2.57160903,5.63459911,-6.29012122,11.92673561,18.44434542,18889217891.657833,0.8196,38494994306.03,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:54.244526
8,74,Dogecoin,DOGE,dogecoin,1022,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145122826383.7052,145122826383.7052,True,,9,,,,2024-07-15T08:01:00.000Z,0.11880599933941027,582927966.8526295,-2.3724,0.02348934,4.46689762,14.01102928,-12.78009312,-23.89403208,-24.47974976,17241462415.47583,0.7481,17241462415.48,,2024-07-15T08:01:00.000Z,,,,,,2024-07-15 13:32:54.244526
9,2010,Cardano,ADA,cardano,1212,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35881010640.501,37048613783.371,False,,10,,,,2024-07-15T08:00:00.000Z,0.43845523551376936,375904446.6479187,-3.49,-0.54481939,1.77063315,24.96157134,6.5077918,-4.17011053,-7.21207803,15732216970.85293,0.6826,19730485598.12,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:54.244526
10,1958,TRON,TRX,tron,999,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87122817531.52446,87122888780.67778,True,,11,71659659264.0,9918926319.071978,,2024-07-15T08:00:00.000Z,0.13841715716969638,284650111.1849056,-16.8323,-0.23347479,0.2519746,11.04565454,19.60470786,10.87166449,24.05758428,12059292727.3278,0.5232,12059302589.43,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:54.244526
11,5805,Avalanche,AVAX,avalanche,751,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394492113.6224957,443838483.6224957,False,,12,,,,2024-07-15T08:00:00.000Z,27.164034339740827,263489880.46204886,-11.0454,0.4988104,4.18171393,5.8765068,-10.56156208,-21.86854475,-23.86629445,10715997321.198414,0.465,19442622781.54,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:54.244526
12,5994,Shiba Inu,SHIB,shiba-inu,844,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270744583290.5,589519213187356.2,False,,13,,,,2024-07-15T08:00:00.000Z,1.8141780349899466e-05,260132738.34677896,-1.7539,-0.0548633,3.679352,13.44398504,-12.16187699,-29.11919504,-16.92842932,10690420414.851767,0.464,10694928077.69,,2024-07-15T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-15 13:32:54.244526
13,6636,Polkadot,DOT,polkadot-new,792,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1468888773.7127333,9561601888.208971,,2024-07-15T08:00:00.000Z,6.509411780744475,176568510.76616713,42.6006,0.11575195,4.37073806,9.65385585,4.75090315,-6.42003754,-3.7563157,9360231006.309805,0.4061,9360231006.31,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:54.244526
14,1975,Chainlink,LINK,chainlink,1814,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-15T08:00:00.000Z,13.841902404429765,295970426.8141207,18.8353,0.42470131,5.64530346,9.83729136,-7.9019238,-0.75982103,1.11072604,8417260443.144097,0.3652,13841902404.43,,2024-07-15T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-15 13:32:54.244526
0,1,Bitcoin,BTC,bitcoin,11598,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19720343.0,19720343.0,False,,1,,,,2024-07-15T08:00:00.000Z,62886.80982976656,26366711504.919716,23.8311,-0.03789227,4.62338447,12.58045574,-4.76693549,-4.95293748,-1.03034587,1240149460018.768,53.8249,1320623006425.1,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:57.945270
1,1027,Ethereum,ETH,ethereum,9133,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120217949.15020639,120217949.15020639,True,,2,,,,2024-07-15T08:00:00.000Z,3357.3890874652284,12682609587.784685,28.6703,0.17613093,4.97625917,14.69738719,-4.83308086,11.29487523,7.98412286,403618430594.35266,17.5178,403618430594.35,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:57.945270
2,825,Tether USDt,USDT,tether,91556,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112536925458.19319,116072162581.85667,True,,3,,,,2024-07-15T08:00:00.000Z,1.0005303225126712,46793035889.01515,17.3414,-0.0086151,-0.01177834,0.04543065,0.111182,0.040014,0.00452468,112596606323.27046,4.8855,116133718262.77,,2024-07-15T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-15 13:32:57.945270
3,1839,BNB,BNB,bnb,2192,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147582234.77887374,147582234.77887374,False,,4,,,,2024-07-15T08:00:00.000Z,559.3961459081801,1622707878.8796403,6.5564,0.3448205,3.91563588,11.50841036,-7.69517094,-4.34504989,1.5994468,82556933339.81815,3.5821,82556933339.82,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:57.945270
4,5426,Solana,SOL,solana,701,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464073336.71653,580137529.082648,True,,5,,,,2024-07-15T08:00:00.000Z,153.45013835375883,2085718045.9768991,29.4572,0.13717835,5.82373362,15.72337042,6.74317935,-5.7557618,11.15183074,71212117725.44205,3.0898,89022184101.94,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:57.945270
